subgroup,feature,gain_pct,parcel_lvl,mono,hist_min,hist_max,fc_min,fc_max,n_splits,thr_min,thr_max,sig_monotone,sig_out_of_range,sig_no_splits,n_sig
apt,cs_apt_constr_starts_units,3.81517236987295,FALSE,0.5,0,7924,0,0,99,468.5,7801.5,FALSE,FALSE,TRUE,1
apt,econ_seattle_msa_s_p_corelogic_case_shilller_home_price_index_lvl_lag1,1.31801027669802,FALSE,0.774193548387097,96.5298895762196,393.651288142245,382.081125,418.01175,81,112.1874983777,374.014746883575,FALSE,FALSE,TRUE,1
apt,cs_apt_under_constr_units,0.29386554338365,FALSE,0.518518518518519,646,14107,0,0,91,887.5,11717.5,FALSE,TRUE,TRUE,2
apt,econ_population_thous_lvl_lag1,0.159473642979748,FALSE,1,2317.76442596637,3293.99567456135,3309.61852850567,3393.49315198473,53,2400.81714928543,3241.30691699539,TRUE,TRUE,TRUE,3
apt,cs_apt_asking_rent_unit,0.130458785648535,FALSE,0.838709677419355,1237.51469590929,2052.85613335504,2058.92801920573,2253.71866861979,36,1297.95621744792,1944.61387125651,FALSE,TRUE,TRUE,2
apt,cs_apt_asking_rent_sf,0.0208355799773539,FALSE,0.838709677419355,1.84777777777778,3.08111111111111,3.1,3.39333333333333,1,1.94,1.94,FALSE,TRUE,TRUE,2
apt,cs_apt_eff_rent_studio,0.0192802263815088,FALSE,0.838709677419355,918.497855555556,1482.4737,1485.55685555556,1626.38085555556,9,964.186622222222,1322.83944444444,FALSE,TRUE,TRUE,2
apt,cs_apt_eff_rent_2br,0.0185311670970467,FALSE,0.806451612903226,1596.29131111111,2687.30404444444,2694.91112222222,2951.65446666667,10,1674.18748333333,2552.57776666667,FALSE,TRUE,TRUE,2
apt,cs_apt_rent_2br,0.00938048491872489,FALSE,0.838709677419355,1606.39064444444,2714.25087222222,2722.12305555556,2981.24543333333,2,2446.84086111111,2446.84086111111,FALSE,TRUE,TRUE,2
apt,cs_apt_effective_rent_unit,0.00279772182671552,FALSE,0.838709677419355,1229.09862603082,2030.90389675564,2036.9332953559,2229.77187771268,3,1287.59486219618,1423.55710177951,FALSE,TRUE,TRUE,2
apt,cs_apt_effective_rent_sf,0,FALSE,0.838709677419355,1.83444444444444,3.04944444444444,3.06666666666667,3.35777777777778,0,,,FALSE,TRUE,FALSE,1
apt,cs_apt_asking_rent_index,0,FALSE,0.838709677419355,79.5852805243598,133.122486114502,133.497157626682,146.169213189019,0,,,FALSE,TRUE,FALSE,1
apt,cs_apt_rent_1br,0,FALSE,0.806451612903226,1207.94145555556,2006.54604444444,2008.44726666667,2197.75787777778,0,,,FALSE,TRUE,FALSE,1
apt,cs_apt_eff_rent_1br,0,FALSE,0.838709677419355,1199.68992222222,1979.36482222222,1985.39307777778,2172.6675,0,,,FALSE,TRUE,FALSE,1
hospitality,cs_hosp_12m_sales_volume,1.56997064191733,FALSE,0.538461538461538,0,387850400,0,0,152,975000,275739702.5,FALSE,FALSE,TRUE,1
hospitality,cs_hosp_adr,0.721135435819056,FALSE,0.709677419354839,100.1006,173.2645,180.3176,192.2814,96,109.71705,167.9902,FALSE,TRUE,TRUE,2
hospitality,cs_hosp_12m_delivered_rooms,0.687923133718896,FALSE,0.5,0,2574,0,0,100,1.00000001800251e-35,842,FALSE,FALSE,TRUE,1
hospitality,cs_hosp_12m_demand_chg,0.564125975540737,FALSE,0.612903225806452,-0.7443,1.1863,-0.0017,0.0075,90,0.0177,0.0866,FALSE,FALSE,TRUE,1
hospitality,econ_population_thous_lvl_lag1,0.560861673514299,FALSE,1,2317.76442596637,3293.99567456135,3309.61852850567,3393.49315198473,58,2400.81714928543,3123.6774541782,TRUE,TRUE,TRUE,3
hospitality,econ_seattle_msa_s_p_corelogic_case_shilller_home_price_index_lvl_lag1,0.422028711715709,FALSE,0.774193548387097,96.5298895762196,393.651288142245,382.081125,418.01175,50,136.341151464671,374.014746883575,FALSE,FALSE,TRUE,1
hospitality,cs_hosp_12m_transactions,0.406162097425766,FALSE,0.56,0,8,0,0,64,1.5,7.5,FALSE,FALSE,TRUE,1
hospitality,cs_hosp_12m_revpar,0.355128451168588,FALSE,0.67741935483871,32.2444,176.0982,164.964,177.185,62,77.31925,164.5207,FALSE,FALSE,TRUE,1
hospitality,cs_hosp_12m_adr,0.336724908880359,FALSE,0.741935483870968,123.2934,227.8673,232.0894,246.5748,43,126.66265,227.3294,FALSE,TRUE,TRUE,2
hospitality,cs_hosp_avg_rooms_bldg,0.332709358602194,FALSE,0.84,148.8732,196.4457,196.4457,196.4457,51,157.4474,192.67365,FALSE,FALSE,TRUE,1
hospitality,cs_hosp_12m_revenue,0.313714477959917,FALSE,0.806451612903226,166948667.11,1053754079.27,1080584555.36,1160637461.05,40,343169074.5,1050113523.89,FALSE,TRUE,TRUE,2
hospitality,cs_hosp_inventory_rooms,0.212414831276292,FALSE,0.72,10570,18073,18073,18073,42,11545.5,17149,FALSE,FALSE,TRUE,1
hospitality,cs_hosp_existing_bldgs,0.143471141828191,FALSE,0.6875,70,92,92,92,30,70.5,76.5,FALSE,FALSE,TRUE,1
hospitality,cs_hosp_12m_supply,0.133700891503165,FALSE,0.821428571428571,3750476,6483950,6545435,6550426,35,4250378.5,6415849.5,FALSE,TRUE,TRUE,2
hospitality,cs_hosp_under_constr_rooms,0.133667696760969,FALSE,0.533333333333333,0,2470,0,0,29,74.5,758,FALSE,FALSE,TRUE,1
hospitality,cs_hosp_under_constr_bldgs,0.115370639351167,FALSE,0.583333333333333,0,7,0,0,15,1.5,6.5,FALSE,FALSE,TRUE,1
hospitality,cs_hosp_supply,0.0261798236268799,FALSE,0.821428571428571,3750476,6483950,6545435,6550426,7,4280657.5,4911552,FALSE,TRUE,TRUE,2
hospitality,cs_hosp_revenue,0.0146139140493706,FALSE,0.806451612903226,166948667.11,1053754079.27,1080584555.36,1160637461.05,5,349639364.5,984606689.355,FALSE,TRUE,TRUE,2
hospitality,cs_hosp_demand,0.0125436635155322,FALSE,0.806451612903226,1246132.1724,4874250,4647066,4714992,4,2729245.5862,4558679.5,FALSE,FALSE,TRUE,1
industrial,cs_ind_vacant_sf,0.970341846486051,FALSE,0.548387096774194,938051,10150881,4724525,5286364,171,939509,3580755,FALSE,FALSE,TRUE,1
industrial,cs_ind_occupancy_rate,0.855232888538183,FALSE,0.516129032258065,0.887616098858416,0.983099468052387,0.879518480971455,0.882047025486827,89,0.929710276424885,0.982724262401462,FALSE,TRUE,TRUE,2
industrial,cs_ind_vacancy_rate,0.818658325817237,FALSE,0.516129032258065,0.0169005340503645,0.112383898096596,0.11795297327626,0.120481518417364,106,0.0172757383006683,0.0966387748248963,FALSE,TRUE,TRUE,2
industrial,econ_seattle_msa_s_p_corelogic_case_shilller_home_price_index_lvl_lag1,0.753474472282185,FALSE,0.774193548387097,96.5298895762196,393.651288142245,382.081125,418.01175,120,112.1874983777,374.014746883575,FALSE,FALSE,TRUE,1
industrial,econ_population_thous_lvl_lag1,0.598802088449074,FALSE,1,2317.76442596637,3293.99567456135,3309.61852850567,3393.49315198473,77,2400.81714928543,3277.54963793865,TRUE,TRUE,TRUE,3
industrial,cs_ind_demand_sf,0.403665158576896,FALSE,0.67741935483871,0,235105066,191985473,196013509,31,209679707.5,216586319,FALSE,FALSE,TRUE,1
industrial,cs_ind_asking_rent_sf,0.101994391706888,FALSE,0.870967741935484,8.913125,20.720625,20.87625,24.203125,21,9.158125,10.6865625,TRUE,TRUE,TRUE,3
industrial,cs_ind_asset_value,0.0957310871037778,FALSE,0.870967741935484,3204542309,30136797954,15288724958,18702375060,23,4827063673.25,15045819779,TRUE,FALSE,TRUE,2
industrial,cs_ind_asking_rent_index,0.0822168562115173,FALSE,0.870967741935484,82.5585331916809,194.716741085053,196.044604301453,227.237117767334,18,85.4209935665131,98.7669453620911,TRUE,TRUE,TRUE,3
industrial,cs_ind_sale_price_sf,0.00679170499583332,FALSE,0.903225806451613,70.7200625,338.273628125,344.38990625,422.2865125,1,329.1034,329.1034,TRUE,TRUE,TRUE,3
industrial,cs_ind_sale_price_index,0,FALSE,0.903225806451613,61.9891833231187,287.106035784054,292.746993315475,358.668447838016,0,,,TRUE,TRUE,FALSE,2
medical,econ_seattle_msa_s_p_corelogic_case_shilller_home_price_index_lvl_lag1,2.18055604269896,FALSE,0.774193548387097,96.5298895762196,393.651288142245,382.081125,418.01175,289,112.1874983777,374.014746883575,FALSE,FALSE,TRUE,1
medical,econ_population_thous_lvl_lag1,1.03540838449499,FALSE,1,2317.76442596637,3293.99567456135,3309.61852850567,3393.49315198473,188,2400.81714928543,3241.30691699539,TRUE,TRUE,TRUE,3
office,cs_off_vacant_sf,4.7101547532432,FALSE,0.580645161290323,1094551,48559493,22768194,25524249,201,5341903.5,10599184,FALSE,FALSE,TRUE,1
office,cs_off_net_delivered_sf,1.24272043704135,FALSE,0.548387096774194,-12572,3733869,-170455,-24019,223,-1.00000001800251e-35,3216252,FALSE,TRUE,TRUE,2
office,cs_off_occupancy_rate,0.682884495123417,FALSE,0.548387096774194,0.822764250967238,0.985292341974047,0.815337691042158,0.835070961051517,118,0.891639331976573,0.953763571050432,FALSE,FALSE,TRUE,1
office,econ_population_thous_lvl_lag1,0.625845540189594,FALSE,1,2317.76442596637,3293.99567456135,3309.61852850567,3393.49315198473,76,2400.81714928543,3277.54963793865,TRUE,TRUE,TRUE,3
office,econ_seattle_msa_s_p_corelogic_case_shilller_home_price_index_lvl_lag1,0.513304770993555,FALSE,0.774193548387097,96.5298895762196,393.651288142245,382.081125,418.01175,102,112.1874983777,374.014746883575,FALSE,FALSE,TRUE,1
office,cs_off_inventory_sf,0.0793465769993339,FALSE,0.806451612903226,68393120,218829452,108733131,109254814,14,76815289.5,105509352.5,FALSE,FALSE,TRUE,1
