subgroup,feature,gain_pct,parcel_lvl,mono,hist_min,hist_max,fc_min,fc_max,n_splits,thr_min,thr_max,sig_monotone,sig_out_of_range,sig_no_splits,n_sig
apt,econ_employment_thous_yoy_lag1,13.2800212804498,FALSE,0.516129032258065,-5.77819154466319,4.450672535107,-0.321892254187872,1.06141238649464,290,-5.42657749196946,3.84616578475878,FALSE,FALSE,FALSE,0
apt,econ_services_providing_yoy_lag1,2.27422748856566,FALSE,0.516129032258065,-5.60438210528668,4.81487889273358,-0.460828141380443,1.20600974509146,137,-4.52849298756695,4.23431230328256,FALSE,FALSE,FALSE,0
apt,econ_population_thous_yoy_lag1,2.7091317907663,FALSE,0.612903225806452,0.658042751227694,2.26134908906881,0.474282770465395,0.759426836841937,273,0.752660312126397,2.20047786334471,FALSE,FALSE,FALSE,0
apt,econ_wholesale_and_retail_trade_yoy_lag1,2.44481729897524,FALSE,0.516129032258065,-6.65337270391532,4.55900120821586,-1.31407924650861,0.317177646280786,194,-6.35710402750245,3.75869877401215,FALSE,FALSE,FALSE,0
apt,econ_housing_permits_thous_yoy_lag1,1.01483719328739,FALSE,0.516129032258065,-58.0088944370758,66.2180814354727,0.126853485551282,25.0307357831017,210,-48.6855750985587,57.5794977968891,FALSE,FALSE,FALSE,0
apt,econ_seattle_msa_s_p_corelogic_case_shilller_home_price_index_yoy_lag1,0.37562483053539,FALSE,0.516129032258065,-14.338894155444,21.8010251347206,-1.91622950725402,3.48177289743727,152,-6.95522650436449,15.879813315436,FALSE,FALSE,FALSE,0
apt,econ_employment_thous_lvl_lag1,0.938759792266885,FALSE,0.741935483870968,1341.18333333333,1781.46666666667,1772.22691666667,1830.29825,174,1346.0875,1779.70833333333,FALSE,FALSE,FALSE,0
apt,econ_services_providing_lvl_lag1,0.287769390593717,FALSE,0.806451612903226,1100.925,1534.15833333333,1527.0885,1581.8295,82,1113.44583333333,1533.825,FALSE,FALSE,FALSE,0
apt,econ_population_thous_lvl_lag1,0.159473642979748,FALSE,1,2317.76442596637,3293.99567456135,3309.61852850567,3393.49315198473,53,2400.81714928543,3241.30691699539,TRUE,TRUE,TRUE,3
apt,econ_seattle_msa_s_p_corelogic_case_shilller_home_price_index_lvl_lag1,1.31801027669802,FALSE,0.774193548387097,96.5298895762196,393.651288142245,382.081125,418.01175,81,112.1874983777,374.014746883575,FALSE,FALSE,TRUE,1
