n_parcels,av_base,pred_total,pred_land,pred_imps,share_report,share_model,run,scenario,track,gap_vs_worksheet_pp
166313,168735040325.282,0.000371383307019801,0.00334617317232699,-0.00365717131237142,0,0,anchored,baseline,res,4.65713833070198
15362,94747904442,-0.0649685782716057,-0.054602621448783,-0.0770369634236099,0.125699778674652,0,anchored,baseline,com,-1.87685782716057
35768,19618996108,0.0454570956634421,0.0689103182284869,0.0336886641187208,0,0,anchored,baseline,condo,9.16570956634421
185671,267540375760.04,0.00913888830065535,0.0129467950180926,0.00443438960456422,0,0,anchored,optimistic,res,5.53388883006554
12439,86998583520,-0.0285634388032895,-0.0288662181944718,-0.028268341701571,0.0194549401077257,0,anchored,optimistic,com,1.76365611967105
22702,11379249941,0.0412396027128399,0.0658391647033423,0.0265330033681517,0,0,anchored,optimistic,condo,8.74396027128399
185671,267540375760.04,0.00564045784173484,0.0145265098871132,-0.00533786262747449,0,0,anchored,pessimistic,res,5.18404578417348
12439,86998583520,-0.0397596907104903,-0.0288819863119566,-0.0503613998586047,0.0194549401077257,0,anchored,pessimistic,com,0.644030928950965
22702,11379249941,0.0412396027128399,0.0658391647033423,0.0265330033681517,0,0,anchored,pessimistic,condo,8.74396027128399
217443,283101940875.282,-0.0183719993919569,,,,,anchored,baseline,all,2.78280006080431
220812,365918209221.04,0.00117326394138972,,,,,anchored,optimistic,all,4.73732639413897
220812,365918209221.04,-0.00404656226041522,,,,,anchored,pessimistic,all,4.21534377395848
