area_k,PropType,SpecArea,PresentUse,kca_area,n,av_bn,av_share
1,R,,2,1,2,0.006194,0.935649546827795
1,R,,300,1,2,0.000426,0.0643504531722054
11,R,,2,11,5988,8.72670329436877,0.921925205409428
11,R,,29,11,697,0.535999425946883,0.056625207045172
11,R,,3,11,82,0.0818609034973198,0.00864812607075429
11,R,,4,11,44,0.0580307,0.00613060433165818
11,R,,300,11,217,0.0405932810637675,0.00428844292289687
11,R,,57,11,5,0.007405,0.000782294976209642
11,R,,6,11,6,0.006742,0.000712252900689453
11,R,,172,11,2,0.00451700246831097,0.000477194914042704
11,R,,301,11,6,0.0037567478514898,0.000396878456597817
11,R,,330,11,1,0.000127,0.0000134168078296589
11,R,,332,11,4,0.00000300246831097014,0.000000317193231046669
11,R,,0,11,1,0.000000499,0.0000000527164339133844
11,R,,149,11,17,0.0000000419514425405544,0.00000000443192474601258
11,R,,266,11,5,0.0000000123276307855463,0.00000000130234215153277
11,R,,334,11,2,0.00000000492965990770519,0.000000000520789761002006
12,R,,2,12,4920,7.63908444707277,0.790303034074268
12,R,,29,12,1426,1.36618228030839,0.14133866547842
12,R,,3,12,342,0.384193159577916,0.0397467814093028
12,R,,4,12,163,0.225038006995838,0.023281352751505
12,R,,300,12,123,0.0269127505742825,0.00278426408053254
12,R,,6,12,10,0.0101022552355366,0.00104513086862086
12,R,,301,12,22,0.00868541724336663,0.000898551606176297
12,R,,9,12,2,0.0029774626587034,0.000308034004509247
12,R,,5,12,1,0.001691,0.00017494274868655
12,R,,0,12,6,0.0011506,0.00011903555685319
12,R,,332,12,1,0.000002,0.000000206910406489119
12,R,,149,12,2,0.00000000493662194027185,0.000000000510719226172377
13,R,,2,13,4507,7.12365647563167,0.765440407218799
13,R,,29,13,1716,1.55429764595948,0.167010049843391
13,R,,3,13,267,0.330638685863355,0.0355272901234466
13,R,,4,13,126,0.178465,0.0191761524073478
13,R,,6,13,47,0.0464282552424986,0.00498873896022973
13,R,,300,13,108,0.0458543217981077,0.00492706952812083
13,R,,301,13,19,0.0153595088662819,0.00165038681490394
13,R,,272,13,1,0.004543,0.000488147594130956
13,R,,340,13,1,0.002553,0.000274321111119597
13,R,,20,13,1,0.00134282283697811,0.000144286977154957
13,R,,122,13,1,0.001237,0.000132916261047764
13,R,,0,13,1,0.001081,0.000116153983987577
13,R,,9,13,1,0.00077,0.000082736880361179
13,R,,57,13,1,0.000354751749258985,0.0000381182506965709
13,R,,309,13,1,0.00003,0.00000322351481926671
13,R,,149,13,2,0.00000000493662194027185,0.000000000530442466052784
14,R,,2,14,4391,9.90838676405246,0.960077373311607
14,R,,300,14,177,0.174626793743715,0.0169205378675311
14,R,,29,14,88,0.0868818437518697,0.00841845340962942
14,R,,3,14,54,0.0750269906358111,0.00726977234663815
14,R,,166,14,1,0.0412,0.00399209162120559
14,R,,4,14,14,0.025159,0.00243779206548329
14,R,,272,14,2,0.005346,0.000518002956479735
14,R,,301,14,1,0.001959,0.000189818142862664
14,R,,6,14,1,0.001818,0.000176155887557082
14,R,,149,14,8,0.0000000197395257285207,0.00000000191266978804369
14,R,,334,14,2,0.00000000493662194027185,0.000000000478336094291722
15,R,,2,15,4012,3.81553403364629,0.556234058650113
15,R,,29,15,3114,2.32524261502045,0.338977224601773
15,R,,3,15,389,0.381253890005788,0.055579742375251
15,R,,4,15,121,0.141287651745179,0.0205971178016886
15,R,,5,15,87,0.10481000699464,0.0152793540992379
15,R,,300,15,125,0.0369057689734665,0.00538017626961042
15,R,,301,15,60,0.0297181271096485,0.00433235146428054
15,R,,6,15,25,0.0225034626587034,0.0032805872671957
15,R,,309,15,2,0.001904,0.000277567868175382
15,R,,9,15,1,0.00042,0.0000612282062151577
15,R,,330,15,4,0.000004,0.000000583125773477693
15,R,,149,15,21,0.0000000518107623559648,0.00000000755304771832272
15,R,,332,15,2,0.00000000492269787513853,0.000000000717638001509287
16,R,,2,16,5412,6.56648211581403,0.866416311324243
16,R,,29,16,702,0.570812871530947,0.0753160632870973
16,R,,3,16,202,0.236769672774922,0.0312406404069929
16,R,,4,16,68,0.0935217,0.0123397467492725
16,R,,300,16,457,0.076734340286536,0.0101247338971421
16,R,,6,16,15,0.0195564049226979,0.00258037529335244
16,R,,301,16,11,0.00929930246134894,0.00122699905281804
16,R,,57,16,2,0.003109,0.000410217870756074
16,R,,20,16,2,0.002609,0.000344245231522225
16,R,,335,16,5,0.000005,0.000000659726392338492
16,R,,334,16,22,0.000000054268031180157,0.00000000716041048595956
17,R,,2,17,6074,5.92270143525072,0.959419680204514
17,R,,29,17,191,0.127814900259616,0.0207047632019057
17,R,,300,17,222,0.064445730679557,0.0104395777830576
17,R,,3,17,38,0.0416355,0.00674454360596417
17,R,,4,17,5,0.007836,0.00126935532649626
17,R,,6,17,5,0.0042757517521409,0.000692629946574246
17,R,,57,17,2,0.002555,0.000413884999897646
17,R,,5,17,1,0.001087,0.000176083363948627
17,R,,8,17,1,0.000848,0.00013736770251006
17,R,,334,17,26,0.0000130320880426118,0.00000211107074684246
17,R,,266,17,5,0.000000012313706720413,0.00000000199470000184649
17,R,,149,17,2,0.00000000493662194027185,0.000000000799684450584788
18,R,,2,18,3988,2.59745452665324,0.734569105549816
18,R,,29,18,1129,0.68089591162984,0.19255971399927
18,R,,300,18,676,0.0731946805720028,0.0206997083055993
18,R,,3,18,111,0.0727609137623876,0.0205770375546442
18,R,,6,18,129,0.0696789097225668,0.0197054361742924
18,R,,4,18,34,0.0269925035042818,0.00763357315873333
18,R,,301,18,33,0.00718403204050658,0.002031669057566
18,R,,316,18,7,0.00222200246831097,0.000628389967534771
18,R,,309,18,5,0.001562,0.000441738991422193
18,R,,5,18,2,0.00133970122493923,0.000378872130545282
18,R,,8,18,2,0.000888,0.000251129465033872
18,R,,57,18,1,0.000721,0.000203901288614213
18,R,,193,18,1,0.000639,0.000180711405581806
18,R,,20,18,1,0.000491,0.000138856494742828
18,R,,0,18,1,0.000000499,0.000000141118922355745
18,R,,149,18,21,0.0000000517661082413752,0.0000000146396340873221
18,R,,266,18,1,0.00000000246831097013593,0.000000000698046862012919
19,R,,2,19,4361,4.3466099056347,0.675179229946095
19,R,,29,19,1961,1.62263503147584,0.25205148260836
19,R,,3,19,185,0.202673762224412,0.0314822626552163
19,R,,6,19,132,0.128338729041261,0.0199354545559768
19,R,,4,19,95,0.124317955235537,0.0193108889701815
19,R,,300,19,16,0.00651730246134894,0.00101236304906842
19,R,,0,19,15,0.00416,0.000646192241207257
19,R,,57,19,1,0.001649,0.000256146876382396
19,R,,301,19,1,0.000811,0.000125976420100742
19,R,,149,19,7,0.0000000172364045955515,0.00000000267741127787368
21,R,,2,21,5896,3.78954164693629,0.790002690629519
21,R,,29,21,1286,0.752991345810569,0.156975498525533
21,R,,300,21,463,0.095644278672101,0.0199388856315556
21,R,,3,21,88,0.0640395566818008,0.0133502747294638
21,R,,5,21,39,0.0288240210158469,0.00600892041276033
21,R,,6,21,27,0.0248289417521409,0.00517606946094204
21,R,,4,21,27,0.0217677081455757,0.00453789656006175
21,R,,301,21,93,0.00870717262691947,0.00181517725464325
21,R,,57,21,11,0.00731761604319104,0.00152549751439949
21,R,,272,21,5,0.00292250349443786,0.000609251946299799
21,R,,149,21,5,0.000281009859319815,0.0000585818987200087
21,R,,332,21,13,0.00000601970471556569,0.00000125492298677779
21,R,,266,21,1,0.00000000246134893756926,0.000000000513115427779996
22,R,,2,22,3309,2.11703465611333,0.92829538550307
22,R,,300,22,272,0.0465736049047427,0.0204219909175646
22,R,,29,22,63,0.033024,0.0144806447652279
22,R,,6,22,31,0.022596,0.00990808651632415
22,R,,3,22,35,0.0212224542204519,0.00930580246525782
22,R,,4,22,15,0.012443,0.00545611260942739
22,R,,5,22,12,0.011834,0.00518907310294654
22,R,,57,22,15,0.010218,0.00448047566046204
22,R,,301,22,15,0.005068,0.00222225980105907
22,R,,165,22,1,0.000354751752140904,0.000155554569482637
22,R,,332,22,21,0.000190334472809191,0.0000834594805997704
22,R,,266,22,25,0.00000254431052314219,0.00000111565094652535
22,R,,149,22,36,0.00000008884527085976,0.0000000389576310074683
23,R,,2,23,3,0.001781,0.999994456378918
23,R,,300,23,4,0.0000000098732438805437,0.00000554362108198809
25,R,,2,25,314,0.197542878416164,0.979443514530071
25,R,,300,25,21,0.00414600986628185,0.0205564609935093
25,R,,266,25,2,0.00000000493662194027185,0.000000024476419407537
39,R,,2,39,6211,7.70616895619297,0.925427503279341
39,R,,29,39,505,0.342807448222248,0.0411674650163137
39,R,,3,39,74,0.0862115105128454,0.0103530695188985
39,R,,300,39,222,0.0649682022425639,0.00780197806921502
39,R,,6,39,34,0.0459527542065278,0.00551842852601626
39,R,,4,39,27,0.038557,0.00463027847517752
39,R,,5,39,22,0.025314,0.00303993747751754
39,R,,57,39,11,0.0164697517521409,0.00197783896645111
39,R,,301,39,4,0.00069520493662194,0.0000834865900842317
39,R,,0,39,2,0.000000102461348937569,0.0000000123044992744062
39,R,,332,39,3,0.00000000740205099121813,0.000000000888906226542619
39,R,,149,39,3,0.00000000739100884527445,0.000000000887580184301708
42,R,,2,42,4046,4.38233738376746,0.738634509428938
42,R,,29,42,1187,1.0105261748861,0.170322236762706
42,R,,3,42,249,0.274629410996668,0.0462882572705739
42,R,,4,42,81,0.107219,0.0180715555492849
42,R,,5,42,52,0.0755832552355366,0.0127394118167934
42,R,,6,42,74,0.0601399427556559,0.0101364712993
42,R,,300,42,46,0.0123831344948935,0.00208715342335531
42,R,,301,42,8,0.00420691738417212,0.000709067807005462
42,R,,0,42,15,0.00344059856765987,0.000579906249249249
42,R,,20,42,3,0.0025596875243455,0.000431430392794385
43,R,,2,43,5836,6.94520822803141,0.773226822401064
43,R,,29,43,1350,1.08756051331372,0.121080741176971
43,R,,3,43,404,0.455560160860608,0.0507186140471716
43,R,,6,43,357,0.358245697580012,0.0398843595877558
43,R,,4,43,90,0.1203705035014,0.013401139156282
43,R,,300,43,38,0.0122387033192032,0.00136256442817974
43,R,,301,43,2,0.002926,0.000325758653745476
43,R,,266,43,2,0.00000000492965990770519,0.000000000548830955214316
44,R,,2,44,3879,4.56476686923132,0.842178823086417
44,R,,29,44,430,0.325783101459368,0.0601055074286183
44,R,,3,44,207,0.255358311931261,0.0471124525673353
44,R,,6,44,103,0.118888425314344,0.0219343762733479
44,R,,4,44,60,0.0816797517451789,0.0150695444401368
44,R,,5,44,36,0.0575847517521409,0.010624126017307
44,R,,309,44,4,0.00730200246134894,0.00134718639861416
44,R,,300,44,18,0.00446260785235778,0.000823330946937879
44,R,,193,44,3,0.00254175174517887,0.000468941690705238
44,R,,0,44,4,0.0009939,0.000183370050704592
44,R,,301,44,2,0.0008257,0.00015233791213078
44,R,,149,44,7,0.0000000172781767909515,0.00000000318774540118692
45,R,,2,45,6274,6.71807806984999,0.930572935050972
45,R,,29,45,460,0.345288219588972,0.047828540930994
45,R,,3,45,61,0.06698,0.00927791766360135
45,R,,4,45,23,0.029189,0.00404319406812272
45,R,,5,45,22,0.027157,0.00376172603748017
45,R,,300,45,65,0.0223750591849652,0.00309934244306232
45,R,,6,45,5,0.005805,0.000804095432027558
45,R,,57,45,2,0.002078,0.000287839846296859
45,R,,309,45,2,0.001313,0.000181873781611057
45,R,,301,45,1,0.001029,0.000142534745832275
46,R,,2,46,4372,9.091104691394,0.96982452308974
46,R,,29,46,146,0.125759,0.0134157691875112
46,R,,300,46,76,0.0986639503965768,0.010525312587159
46,R,,4,46,22,0.036047,0.00384543636560578
46,R,,3,46,11,0.01345,0.00143482451015058
46,R,,156,46,1,0.00402,0.000428847177011548
46,R,,5,46,2,0.003049,0.000325262448434878
46,R,,57,46,1,0.001875,0.000200022004203147
46,R,,149,46,6,0.0000000147959417556822,0.00000000157840742615712
46,R,,266,46,1,0.00000000246831097013593,0.000000000263315470529708
46,R,,337,46,1,0.00000000246831097013593,0.000000000263315470529708
46,R,,0,46,1,0.00000000246134893756926,0.000000000262572772019142
46,R,,332,46,1,0.00000000246134893756926,0.000000000262572772019142
48,R,,2,48,4991,4.72091053331307,0.873431909419024
48,R,,29,48,854,0.577826959607052,0.10690575495596
48,R,,3,48,69,0.057754945829126,0.0106854413482232
48,R,,4,48,26,0.023576,0.00436187691996182
48,R,,300,48,70,0.0148202124646525,0.0027419385264039
48,R,,6,48,9,0.006,0.00111008065489358
48,R,,20,48,1,0.002392,0.000442552154417572
48,R,,301,48,4,0.001732,0.000320443282379279
48,R,,266,48,3,0.00000000740493291040778,0.00000000137001212910474
48,R,,330,48,2,0.00000000492965990770519,0.00000000091205334979133
48,R,,149,48,1,0.00000000246831097013593,0.000000000456670709701581
6,R,,2,6,6775,5.51631488301169,0.765117904510947
6,R,,29,6,2189,1.32289423508904,0.183486636732443
6,R,,3,6,195,0.166281078381138,0.0230633372004568
6,R,,4,6,75,0.0805329552535408,0.0111699943303495
6,R,,6,6,103,0.0714403823873962,0.00990884618244689
6,R,,300,6,121,0.0371109694905117,0.00514732530921945
6,R,,57,6,8,0.007634,0.00105884276131961
6,R,,5,6,2,0.002396,0.000332327384873171
6,R,,301,6,3,0.001709,0.000237039858409119
6,R,,9,6,2,0.00143,0.000198342303993587
6,R,,11,6,1,0.001224,0.00016976991614556
6,R,,8,6,1,0.000508,0.0000704600632368827
6,R,,0,6,3,0.0002819,0.0000390997870599946
6,R,,332,6,4,0.000000506397970877841,0.0000000702378603367751
6,R,,266,6,5,0.0000000123415548506796,0.00000000171178491185107
6,R,,149,6,4,0.00000000985643789622073,0.00000000136709692413016
6,R,,337,6,1,0.00000000246831097013593,0.000000000342356982370214
7,R,,2,7,7702,6.58004780715521,0.924436909004166
7,R,,29,7,679,0.390776007342031,0.0549004771587574
7,R,,3,7,72,0.0585015034973198,0.00821892950479031
7,R,,300,7,132,0.0252975294479752,0.00355407295109588
7,R,,6,7,28,0.0230955428499785,0.0032447138485515
