track,kind,level,key,act_total,act_land,act_imps,act_prev,act_n,nbhds,area_name
com,geo,area,47,0.0051,,,247771000,,,
com,geo,area,50,0.0289,,,5822689900,,,
com,geo,area,55,0.0082,,,4739452365,,,
com,geo,area,60,0.0211,,,3346549399,,,
com,geo,area,62,0.041,,,2485842700,,,
com,geo,area,65,0.0236,,,3904903100,,,
com,geo,area,70,0.0294,,,8112739089,,,
com,geo,area,75,0.0285,,,6616351148,,,
com,geo,area,80,0.0172,,,10645080090,,,
com,geo,area,85,0.0533,,,5830615559,,,
com,geo,area,90,0.0292,,,5427287625,,,
com,geo,area,95,0.0209,,,4067132441,,,
com,specialty,spec,15,-0.021,,,321333700,,,
com,specialty,spec_region,100|R3,0.0214,,,,,"340,350,355,360,365,370,380,385,400,425,430",East
condo,condo,condo_area,700_04,-0.052,0.013,-0.064,720500,20175,"330,335,340,345,350,355,360,365,450,455,465,480",I-90 Corridor
condo,condo,condo_area,700_05,-0.047,0.055,-0.076,689700,19980,"370,375,380,385,390,395,400,425,430,435,460,490",Northeast King County
condo,condo,condo_area,700_06,-0.048,0.018,-0.058,351800,19065,"240,245,250,255,260,265,270,275,280,285,290,295,300,305,310,315,320,325,470",South King County
res,geo,area,2,-0.032,,,764700,,,
res,geo,area,3,-0.041,,,740100,,,
res,geo,area,4,-0.058,,,1044100,,,
res,geo,area,24,-0.019,,,613500,,,
res,geo,area,85,-0.014,,,865400,,,
